Trial,Distance (m),Reflectivity,B:S Ratio,QE,Signal Photons,Background Photons,Dark Counts,First laser photon arrival (ns),Number of simulated ambient photons,Est. TOF (ns),True TOF (ns),Percent Error (%)
1,1.599,0.459,79.4,0.294,6707,156755,60,10.610,156563,10.668,10.659,0.089
2,2.870,0.356,64.6,0.397,7028,179914,85,19.170,179671,19.138,19.135,0.016
3,2.008,0.092,60.6,0.410,1875,46685,83,13.759,46499,13.385,13.385,0.004
4,4.773,0.357,69.4,0.202,3684,51601,35,31.795,51518,31.808,31.817,0.028
5,1.737,0.092,76.7,0.674,3130,162064,149,11.769,161816,11.593,11.577,0.131
6,1.469,0.245,78.1,0.343,4166,111562,67,9.360,111507,9.774,9.793,0.194
7,1.228,0.557,63.0,0.232,6517,95047,47,8.506,95195,8.190,8.186,0.045
8,2.514,0.419,78.1,0.674,14344,755620,138,16.914,755462,16.762,16.762,0.001
9,3.772,0.372,73.4,0.496,9260,337772,85,25.499,337350,25.143,25.146,0.014
10,4.492,0.198,78.7,0.371,3577,104016,84,30.227,103839,29.919,29.949,0.098
11,4.478,0.284,64.2,0.651,9199,384442,131,29.683,383956,29.861,29.856,0.016
12,2.316,0.179,79.2,0.649,5851,300440,115,15.484,300009,15.426,15.442,0.101
13,2.161,0.287,76.2,0.417,5937,188155,75,14.141,187767,14.418,14.404,0.095
14,4.830,0.678,64.4,0.254,8600,140316,60,32.204,140302,32.203,32.201,0.006
15,1.382,0.343,77.7,0.618,10650,511713,127,9.026,511973,9.216,9.216,0.005
16,4.445,0.556,75.6,0.678,18949,971282,141,29.701,971939,29.631,29.636,0.016
17,1.634,0.495,68.7,0.600,14830,610779,115,10.821,610572,10.888,10.893,0.040
18,3.264,0.716,62.5,0.225,8021,112712,49,21.700,112575,21.753,21.759,0.027
19,3.834,0.152,74.1,0.634,4701,221365,122,25.305,221093,25.559,25.558,0.005
20,1.280,0.108,68.8,0.653,3632,163289,135,9.550,163082,8.516,8.534,0.206
21,2.361,0.288,68.1,0.643,9164,401111,137,15.809,400610,15.747,15.742,0.028
22,1.376,0.578,69.4,0.584,16949,687818,116,9.655,687666,9.162,9.173,0.112
23,3.758,0.733,64.4,0.447,16336,470024,103,24.764,470441,25.048,25.055,0.028
24,4.415,0.353,60.7,0.585,10191,361328,115,29.762,360984,29.429,29.430,0.005
25,3.889,0.079,68.4,0.580,2253,89255,120,25.757,89092,25.933,25.924,0.038
26,3.259,0.490,71.6,0.484,11809,409104,95,22.042,408624,21.728,21.726,0.010
27,4.131,0.091,76.9,0.265,1250,25353,45,27.409,25324,27.524,27.542,0.067
28,3.560,0.569,64.8,0.682,19261,850107,141,23.926,850651,23.736,23.737,0.001
29,4.128,0.182,69.2,0.596,5384,222448,130,27.605,222162,27.517,27.522,0.017
30,3.125,0.457,65.5,0.343,7846,175656,68,21.205,175285,20.829,20.832,0.014
